original/ratio/verb/c4first/1/mask
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |           1 |               nan   |                 370.3 |                    618.3 |     25.2 |      33.7 |      28.8 |      14.3 |      19.4 |      16.5 |
| 1_siamese_distance       |           1 |               nan   |                 373   |                    737.7 |     25.3 |      40.7 |      31.2 |      13.5 |      26   |      17.7 |
| 1_triplet_distance       |           1 |               nan   |                 439.3 |                    673.7 |     33.3 |      44.6 |      38.1 |      18.8 |      28.9 |      22.7 |
| 1_softmax_classification |           1 |               nan   |                 351.7 |                    758.3 |     28.4 |      51.9 |      36.7 |      14.4 |      36.8 |      20.7 |
| 1_arcface_classification |           1 |               nan   |                 444.7 |                    676.7 |     32.5 |      43.1 |      37   |      18.5 |      27.8 |      22.1 |
| 1_adacos_classification  |           1 |               nan   |                 412.7 |                    813   |     31.9 |      47.9 |      38.3 |      17.2 |      32.2 |      22.4 |
| 2_vanilla                |           1 |               856.3 |                 429.7 |                    494   |     26.1 |      32.8 |      29   |      12.8 |      17.5 |      14.7 |
| 2_siamese_distance       |           1 |              1764.7 |                 396.7 |                    503.3 |     23.6 |      27.5 |      25.4 |      12.4 |      14.4 |      13.3 |
| 2_triplet_distance       |           1 |               871.7 |                 353.7 |                    425   |     28   |      34.9 |      31   |      14.5 |      19.1 |      16.4 |
| 2_softmax_classification |           1 |              1164.3 |                 438.3 |                    518.3 |     25.9 |      27   |      26.4 |      13.5 |      14   |      13.8 |
| 2_arcface_classification |           1 |               865   |                 396.3 |                    469   |     27.1 |      34.7 |      30.4 |      13.9 |      19   |      16   |
| 2_adacos_classification  |           1 |               944.3 |                 365.3 |                    437.7 |     26.8 |      30.8 |      28.7 |      14.1 |      16.2 |      15   |


original/ratio/verb/c4first/1/wm
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |      0      |               nan   |                 536.7 |                    725   |     51.6 |      48.1 |      49.8 |      38.3 |      34.5 |      36.3 |
| 1_siamese_distance       |      0.0667 |               nan   |                 448   |                    578   |     57.9 |      66.8 |      61.9 |      46.4 |      55.5 |      50.3 |
| 1_triplet_distance       |      0.2    |               nan   |                 509   |                    796   |     71.3 |      70.2 |      70.8 |      61.6 |      59.8 |      60.7 |
| 1_softmax_classification |      0.1    |               nan   |                 450.3 |                    639.3 |     67.5 |      76.4 |      71.7 |      55.3 |      66.4 |      60.3 |
| 1_arcface_classification |      0.2667 |               nan   |                 517.7 |                    735   |     70.7 |      70.1 |      70.4 |      60.7 |      59.2 |      59.9 |
| 1_adacos_classification  |      0.3667 |               nan   |                 474.3 |                    698   |     69.3 |      75.9 |      72.4 |      57.9 |      65.9 |      61.6 |
| 2_vanilla                |      0.6667 |               856.7 |                 375   |                    446.7 |     32.1 |      42.1 |      36.4 |      17.8 |      25.5 |      20.9 |
| 2_siamese_distance       |      0.2667 |              1862.3 |                 575.7 |                    701.7 |     65.3 |      64   |      64.6 |      54.4 |      52.4 |      53.3 |
| 2_triplet_distance       |      0.5333 |               940.7 |                 327.3 |                    398.3 |     61   |      71.8 |      65.9 |      48.5 |      60.6 |      53.7 |
| 2_softmax_classification |      0.4667 |              1149.7 |                 620.3 |                    709.3 |     73.8 |      67.4 |      70.2 |      63.6 |      55.6 |      59   |
| 2_arcface_classification |      0.5667 |               889.7 |                 355.3 |                    426   |     53.8 |      64.3 |      58.6 |      41.2 |      51.5 |      45.7 |
| 2_adacos_classification  |      0.5    |               972.7 |                 448.7 |                    527   |     69.8 |      72   |      70.8 |      58.6 |      61.4 |      59.8 |


original/ratio/verb/c4first/1/word
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |           0 |               nan   |                 536.7 |                    725   |     51.6 |      48.1 |      49.8 |      38.3 |      34.5 |      36.3 |
| 1_siamese_distance       |           0 |               nan   |                 445.3 |                    568.3 |     57.2 |      67.2 |      61.6 |      45.5 |      55.9 |      49.9 |
| 1_triplet_distance       |           0 |               nan   |                 524.7 |                    782   |     71.9 |      68.9 |      70.4 |      62.6 |      58.2 |      60.3 |
| 1_softmax_classification |           0 |               nan   |                 450.3 |                    634   |     67.6 |      76.4 |      71.7 |      55.4 |      66.4 |      60.4 |
| 1_arcface_classification |           0 |               nan   |                 503   |                    665.7 |     70.2 |      69.5 |      69.8 |      60.4 |      58.9 |      59.6 |
| 1_adacos_classification  |           0 |               nan   |                 445   |                    611.3 |     69   |      75.8 |      72.3 |      57.8 |      66   |      61.6 |
| 2_vanilla                |           0 |               870.7 |                 442   |                    505.7 |     47.4 |      57.2 |      51.8 |      35.7 |      44.3 |      39.4 |
| 2_siamese_distance       |           0 |              2231.3 |                 612   |                    757.3 |     66.4 |      64.4 |      65.4 |      55.8 |      52.6 |      54.1 |
| 2_triplet_distance       |           0 |              1301.3 |                 413   |                    475.7 |     69   |      71.6 |      70.2 |      59.2 |      61.4 |      60.1 |
| 2_softmax_classification |           0 |              1802   |                 911.7 |                   1098.7 |     80.8 |      61.7 |      69.8 |      73.1 |      49.8 |      59   |
| 2_arcface_classification |           0 |              1032.7 |                 373.3 |                    404.7 |     61.4 |      69.8 |      65.3 |      51.2 |      59.2 |      54.9 |
| 2_adacos_classification  |           0 |              1610.7 |                 735.7 |                    869   |     78.9 |      66   |      71.7 |      70.6 |      55.1 |      61.7 |




original/ratio/verb/c4first/2/mask
