verb_form: original add_method: frequency_100 add_key: verb clustering_dataset: c4first c4_rate: 1 settings: ['all_3_0', 'all_3_1', 'all_3_2'] model_name: arcface_classification clustering_method: onestep-average vec_type: wm
|   frame_cluster | setting   |   c4_ratio |   size |   framenet_size |   c4_size | lu_counts                                                                                                                                                                                                                                                                     |
|----------------:|:----------|-----------:|-------:|----------------:|----------:|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|              25 | all_3_2   |          1 |     54 |               0 |        54 | [{'set.v': 41}, {'set out.v': 10}, {'set stage.v': 1}, {'set to.v': 1}, {'set up.v': 1}]                                                                                                                                                                                      |
|             653 | all_3_0   |          1 |     53 |               0 |        53 | [{'regard.v': 53}]                                                                                                                                                                                                                                                            |
|             566 | all_3_1   |          1 |     46 |               0 |        46 | [{'dance.v': 46}]                                                                                                                                                                                                                                                             |
|             368 | all_3_0   |          1 |     38 |               0 |        38 | [{'boast.v': 38}]                                                                                                                                                                                                                                                             |
|              51 | all_3_2   |          1 |     38 |               0 |        38 | [{'stream.v': 38}]                                                                                                                                                                                                                                                            |
|             348 | all_3_0   |          1 |     31 |               0 |        31 | [{'compose.v': 16}, {'make up.v': 15}]                                                                                                                                                                                                                                        |
|              15 | all_3_1   |          1 |     31 |               0 |        31 | [{'grow.v': 21}, {'grow up.v': 7}, {'turn.v': 2}, {'grow - up.v': 1}]                                                                                                                                                                                                         |
|             277 | all_3_1   |          1 |     30 |               0 |        30 | [{'accompany.v': 30}]                                                                                                                                                                                                                                                         |
|             556 | all_3_1   |          1 |     30 |               0 |        30 | [{'pace.v': 30}]                                                                                                                                                                                                                                                              |
|             650 | all_3_2   |          1 |     30 |               0 |        30 | [{'lead - edge.v': 17}, {'lead.v': 13}]                                                                                                                                                                                                                                       |
|             691 | all_3_0   |          1 |     29 |               0 |        29 | [{'fall.v': 29}]                                                                                                                                                                                                                                                              |
|             688 | all_3_0   |          1 |     26 |               0 |        26 | [{'wind up.v': 22}, {'wind.v': 3}, {'got.v': 1}]                                                                                                                                                                                                                              |
|             613 | all_3_2   |          1 |     26 |               0 |        26 | [{'advance.v': 26}]                                                                                                                                                                                                                                                           |
|             649 | all_3_1   |          1 |     25 |               0 |        25 | [{'flash.v': 25}]                                                                                                                                                                                                                                                             |
|             355 | all_3_2   |          1 |     25 |               0 |        25 | [{'crunch.v': 25}]                                                                                                                                                                                                                                                            |
|             600 | all_3_2   |          1 |     25 |               0 |        25 | [{'keep up.v': 22}, {'keep.v': 3}]                                                                                                                                                                                                                                            |
|             609 | all_3_2   |          1 |     24 |               0 |        24 | [{'execute.v': 24}]                                                                                                                                                                                                                                                           |
|             412 | all_3_1   |          1 |     22 |               0 |        22 | [{'drop.v': 22}]                                                                                                                                                                                                                                                              |
|             279 | all_3_2   |          1 |     20 |               0 |        20 | [{'sprawl.v': 20}]                                                                                                                                                                                                                                                            |
|              47 | all_3_0   |          1 |     19 |               0 |        19 | [{'do must.v': 15}, {'do may.v': 3}, {'do can.v': 1}]                                                                                                                                                                                                                         |
|             439 | all_3_0   |          1 |     19 |               0 |        19 | [{'smack.v': 19}]                                                                                                                                                                                                                                                             |
|             318 | all_3_2   |          1 |     19 |               0 |        19 | [{'pile.v': 11}, {'pile up.v': 7}, {'pop up.v': 1}]                                                                                                                                                                                                                           |
|              18 | all_3_0   |          1 |     18 |               0 |        18 | [{'bear.v': 17}, {'bear benefit.v': 1}]                                                                                                                                                                                                                                       |
|             686 | all_3_0   |          1 |     18 |               0 |        18 | [{'stagger.v': 18}]                                                                                                                                                                                                                                                           |
|              55 | all_3_1   |          1 |     18 |               0 |        18 | [{'do might.v': 16}, {'do drive.v': 1}, {'do stare.v': 1}]                                                                                                                                                                                                                    |
|             311 | all_3_0   |          1 |     17 |               0 |        17 | [{'glow.v': 10}, {'shine.v': 7}]                                                                                                                                                                                                                                              |
|             645 | all_3_0   |          1 |     17 |               0 |        17 | [{'follow.v': 17}]                                                                                                                                                                                                                                                            |
|             120 | all_3_1   |          1 |     17 |               0 |        17 | [{'should.v': 17}]                                                                                                                                                                                                                                                            |
|             464 | all_3_1   |          1 |     17 |               0 |        17 | [{'flare.v': 14}, {'square.v': 3}]                                                                                                                                                                                                                                            |
|             663 | all_3_2   |          1 |     17 |               0 |        17 | [{'take care.v': 15}, {'take.v': 2}]                                                                                                                                                                                                                                          |
|             464 | all_3_0   |          1 |     16 |               0 |        16 | [{'look.v': 11}, {'look forward.v': 5}]                                                                                                                                                                                                                                       |
|             177 | all_3_2   |          1 |     16 |               0 |        16 | [{'admit.v': 16}]                                                                                                                                                                                                                                                             |
|             297 | all_3_2   |          1 |     16 |               0 |        16 | [{'come.v': 14}, {'come to.v': 2}]                                                                                                                                                                                                                                            |
|             435 | all_3_1   |          1 |     15 |               0 |        15 | [{'stretch.v': 15}]                                                                                                                                                                                                                                                           |
|             169 | all_3_2   |          1 |     15 |               0 |        15 | [{'lie.v': 14}, {'lie down.v': 1}]                                                                                                                                                                                                                                            |
|             320 | all_3_2   |          1 |     15 |               0 |        15 | [{'rush.v': 15}]                                                                                                                                                                                                                                                              |
|             331 | all_3_0   |          1 |     14 |               0 |        14 | [{'ooze.v': 14}]                                                                                                                                                                                                                                                              |
|             679 | all_3_0   |          1 |     14 |               0 |        14 | [{'trail.v': 14}]                                                                                                                                                                                                                                                             |
|             564 | all_3_2   |          1 |     14 |               0 |        14 | [{'fire up.v': 13}, {'fire off.v': 1}]                                                                                                                                                                                                                                        |
|             171 | all_3_0   |          1 |     13 |               0 |        13 | [{'lay out.v': 8}, {'lay.v': 5}]                                                                                                                                                                                                                                              |
|             117 | all_3_1   |          1 |     13 |               0 |        13 | [{'be investigate.v': 2}, {'be call.v': 1}, {'be confess.v': 1}, {'be discuss.v': 1}, {'be entitle.v': 1}, {'be use.v': 1}, {'would bisect.v': 1}, {'would devour.v': 1}, {'would express.v': 1}, {'would insert.v': 1}, {'would pitch.v': 1}, {'would well stockpile.v': 1}] |
|             634 | all_3_1   |          1 |     13 |               0 |        13 | [{'graze.v': 13}]                                                                                                                                                                                                                                                             |
|              30 | all_3_2   |          1 |     13 |               0 |        13 | [{'accord.v': 13}]                                                                                                                                                                                                                                                            |
|             531 | all_3_2   |          1 |     13 |               0 |        13 | [{'incarcerate.v': 13}]                                                                                                                                                                                                                                                       |
|             632 | all_3_2   |          1 |     13 |               0 |        13 | [{'confer.v': 13}]                                                                                                                                                                                                                                                            |
|             129 | all_3_0   |          1 |     12 |               0 |        12 | [{'sting.v': 10}, {'spray.v': 1}, {'tickle.v': 1}]                                                                                                                                                                                                                            |
|             212 | all_3_0   |          1 |     12 |               0 |        12 | [{'work class.v': 10}, {'work - class.v': 1}, {'work order.v': 1}]                                                                                                                                                                                                            |
|             306 | all_3_0   |          1 |     12 |               0 |        12 | [{'voice.v': 12}]                                                                                                                                                                                                                                                             |
|             447 | all_3_0   |          1 |     12 |               0 |        12 | [{'frown.v': 12}]                                                                                                                                                                                                                                                             |
|             650 | all_3_0   |          1 |     12 |               0 |        12 | [{'fill.v': 9}, {'fill out.v': 3}]                                                                                                                                                                                                                                            |
|             195 | all_3_1   |          1 |     12 |               0 |        12 | [{'purse.v': 12}]                                                                                                                                                                                                                                                             |
|             371 | all_3_1   |          1 |     12 |               0 |        12 | [{'stand out.v': 10}, {'stand - out.v': 1}, {'stand.v': 1}]                                                                                                                                                                                                                   |
|             531 | all_3_1   |          1 |     12 |               0 |        12 | [{'wheel.v': 10}, {'barge.v': 2}]                                                                                                                                                                                                                                             |
|             659 | all_3_1   |          1 |     12 |               0 |        12 | [{'lash.v': 10}, {'lash out.v': 2}]                                                                                                                                                                                                                                           |
|             444 | all_3_2   |          1 |     12 |               0 |        12 | [{'cut - edge.v': 10}, {'cut.v': 2}]                                                                                                                                                                                                                                          |
|              32 | all_3_0   |          1 |     11 |               0 |        11 | [{'surround.v': 11}]                                                                                                                                                                                                                                                          |
|               3 | all_3_1   |          1 |     11 |               0 |        11 | [{'stand.v': 11}]                                                                                                                                                                                                                                                             |
|              33 | all_3_2   |          1 |     11 |               0 |        11 | [{'raise.v': 11}]                                                                                                                                                                                                                                                             |
|              87 | all_3_0   |          1 |     10 |               0 |        10 | [{'stalk.v': 8}, {'poach.v': 2}]                                                                                                                                                                                                                                              |
|             166 | all_3_0   |          1 |     10 |               0 |        10 | [{'can.v': 10}]                                                                                                                                                                                                                                                               |
|             307 | all_3_0   |          1 |     10 |               0 |        10 | [{'soar.v': 10}]                                                                                                                                                                                                                                                              |
|             460 | all_3_0   |          1 |     10 |               0 |        10 | [{'bequeath.v': 10}]                                                                                                                                                                                                                                                          |
|             568 | all_3_0   |          1 |     10 |               0 |        10 | [{'return.v': 10}]                                                                                                                                                                                                                                                            |
|             649 | all_3_0   |          1 |     10 |               0 |        10 | [{'carve.v': 8}, {'carve out.v': 1}, {'carve up.v': 1}]                                                                                                                                                                                                                       |
|             501 | all_3_1   |          1 |     10 |               0 |        10 | [{'trill.v': 10}]                                                                                                                                                                                                                                                             |
|             565 | all_3_1   |          1 |     10 |               0 |        10 | [{'stride.v': 8}, {'bolt.v': 1}, {'skip.v': 1}]                                                                                                                                                                                                                               |
|             573 | all_3_1   |          1 |     10 |               0 |        10 | [{'stick.v': 10}]                                                                                                                                                                                                                                                             |
|             645 | all_3_1   |          1 |     10 |               0 |        10 | [{'ring.v': 9}, {'ring true.v': 1}]                                                                                                                                                                                                                                           |
|             224 | all_3_2   |          1 |     10 |               0 |        10 | [{'give up.v': 10}]                                                                                                                                                                                                                                                           |
|             527 | all_3_2   |          1 |     10 |               0 |        10 | [{'woo.v': 9}, {'woo - hoo.v': 1}]                                                                                                                                                                                                                                            |
|             657 | all_3_2   |          1 |     10 |               0 |        10 | [{'take.v': 6}, {'take in.v': 4}]                                                                                                                                                                                                                                             |
|             467 | all_3_0   |          1 |      9 |               0 |         9 | [{'bend.v': 8}, {'plan may.v': 1}]                                                                                                                                                                                                                                            |
|               2 | all_3_1   |          1 |      9 |               0 |         9 | [{'bat.v': 9}]                                                                                                                                                                                                                                                                |
|             511 | all_3_1   |          1 |      9 |               0 |         9 | [{'dash.v': 9}]                                                                                                                                                                                                                                                               |
|             549 | all_3_1   |          1 |      9 |               0 |         9 | [{'seethe.v': 2}, {'seethe cover.v': 1}, {'seethe dip.v': 1}, {'seethe emerge.v': 1}, {'seethe lily.v': 1}, {'seethe live.v': 1}, {'seethe stick.v': 1}, {'seethe transform.v': 1}]                                                                                           |
|             456 | all_3_2   |          1 |      9 |               0 |         9 | [{'edge.v': 7}, {'side.v': 1}, {'stud.v': 1}]                                                                                                                                                                                                                                 |
|             595 | all_3_2   |          1 |      9 |               0 |         9 | [{'drown.v': 8}, {'drown out.v': 1}]                                                                                                                                                                                                                                          |
