LU全て
|   year |   Count |   Cumulative Sum |   Percentage (%) |
|-------:|--------:|-----------------:|-----------------:|
|   2003 |       3 |                3 |             0.01 |
|   2004 |    1683 |             1686 |             5.83 |
|   2005 |    8047 |             9733 |            33.63 |
|   2006 |    3834 |            13567 |            46.88 |
|   2007 |    6290 |            19857 |            68.61 |
|   2008 |    2267 |            22124 |            76.45 |
|   2009 |     591 |            22715 |            78.49 |
|   2010 |    1074 |            23789 |            82.2  |
|   2011 |    2569 |            26358 |            91.07 |
|   2012 |      29 |            26387 |            91.18 |
|   2013 |    1351 |            27738 |            95.84 |
|   2014 |     926 |            28664 |            99.04 |
|   2015 |      23 |            28687 |            99.12 |
|   2016 |     254 |            28941 |           100    |

|   corpID |    0 |
|---------:|-----:|
|      115 | 2152 |
|      135 | 9393 |
|      175 | 3093 |
|      185 | 1601 |
|      195 | 8345 |
|      205 | 3433 |
|      246 |  924 |

| name                         |   Count |   Cumulative Sum |   Percentage (%) |
|:-----------------------------|--------:|-----------------:|-----------------:|
| in.prep                      |     450 |              450 |             1.55 |
| program.n                    |     264 |              714 |             2.47 |
| say.v                        |     213 |              927 |             3.2  |
| have.v                       |     185 |             1112 |             3.84 |
| can.v                        |     157 |             1269 |             4.38 |
| year.n                       |     150 |             1419 |             4.9  |
| facility.n                   |     147 |             1566 |             5.41 |
| missile.n                    |     147 |             1713 |             5.92 |
| there be.v                   |     146 |             1859 |             6.42 |
| use.v                        |     145 |             2004 |             6.92 |
| agent.n                      |     141 |             2145 |             7.41 |
| nuclear weapon.n             |     135 |             2280 |             7.88 |
| people.n                     |     133 |             2413 |             8.34 |
| at.prep                      |     128 |             2541 |             8.78 |
| new.a                        |     127 |             2668 |             9.22 |
| produce.v                    |     126 |             2794 |             9.65 |
| city.n                       |     119 |             2913 |            10.07 |
| on.prep                      |     112 |             3025 |            10.45 |
| know.v                       |     111 |             3136 |            10.84 |
| technology.n                 |     110 |             3246 |            11.22 |
| other.a                      |     110 |             3356 |            11.6  |
| develop.v                    |     108 |             3464 |            11.97 |
| production.n                 |     107 |             3571 |            12.34 |
| chemical weapon.n            |     104 |             3675 |            12.7  |
| of.prep                      |     101 |             3776 |            13.05 |
| island.n                     |     100 |             3876 |            13.39 |
| country.n                    |      98 |             3974 |            13.73 |
| report.n                     |      96 |             4070 |            14.06 |
| one.num                      |      95 |             4165 |            14.39 |
| research.n                   |      93 |             4258 |            14.71 |
| include.v                    |      92 |             4350 |            15.03 |
| nuclear.a                    |      91 |             4441 |            15.35 |
| begin.v                      |      89 |             4530 |            15.65 |
| government.n                 |      87 |             4617 |            15.95 |
| provide.v                    |      87 |             4704 |            16.25 |
| uranium.n                    |      86 |             4790 |            16.55 |
| build.v                      |      84 |             4874 |            16.84 |
| capability.n                 |      83 |             4957 |            17.13 |
| day.n                        |      82 |             5039 |            17.41 |
| system.n                     |      81 |             5120 |            17.69 |
| reactor.n                    |      81 |             5201 |            17.97 |
| see.v                        |      79 |             5280 |            18.24 |
| find.v                       |      76 |             5356 |            18.51 |
| two.num                      |      76 |             5432 |            18.77 |
| group.n                      |      76 |             5508 |            19.03 |
| believe.v                    |      75 |             5583 |            19.29 |
| continue.v                   |      74 |             5657 |            19.55 |
| do.v                         |      74 |             5731 |            19.8  |
| material.n                   |      73 |             5804 |            20.05 |
| make.v                       |      73 |             5877 |            20.31 |
| weapon.n                     |      71 |             5948 |            20.55 |
| good.a                       |      71 |             6019 |            20.8  |
| after.prep                   |      69 |             6088 |            21.04 |
| help.v                       |      69 |             6157 |            21.27 |
| war.n                        |      68 |             6225 |            21.51 |
| large.a                      |      68 |             6293 |            21.74 |
| attack.n                     |      68 |             6361 |            21.98 |
| fire.n                       |      67 |             6428 |            22.21 |
| should.v                     |      66 |             6494 |            22.44 |
| become.v                     |      66 |             6560 |            22.67 |
| first.a                      |      64 |             6624 |            22.89 |
| plant.n                      |      64 |             6688 |            23.11 |
| official.n                   |      61 |             6749 |            23.32 |
| ballistic missile.n          |      60 |             6809 |            23.53 |
| get.v                        |      59 |             6868 |            23.73 |
| area.n                       |      59 |             6927 |            23.93 |
| agreement.n                  |      58 |             6985 |            24.14 |
| take.v                       |      58 |             7043 |            24.34 |
| house.n                      |      58 |             7101 |            24.54 |
| biological weapon.n          |      58 |             7159 |            24.74 |
| come.v                       |      58 |             7217 |            24.94 |
| want.v                       |      57 |             7274 |            25.13 |
| early.a                      |      57 |             7331 |            25.33 |
| work.v                       |      56 |             7387 |            25.52 |
| company.n                    |      55 |             7442 |            25.71 |
| use.n                        |      55 |             7497 |            25.9  |
| president [political].n      |      55 |             7552 |            26.09 |
| center.n                     |      55 |             7607 |            26.28 |
| member.n                     |      54 |             7661 |            26.47 |
| according to.prep            |      54 |             7715 |            26.66 |
| effort.n                     |      54 |             7769 |            26.84 |
| building.n                   |      54 |             7823 |            27.03 |
| chemical.n                   |      54 |             7877 |            27.22 |
| many.a                       |      53 |             7930 |            27.4  |
| chinese.a                    |      52 |             7982 |            27.58 |
| job.n                        |      52 |             8034 |            27.76 |
| acquire.v                    |      52 |             8086 |            27.94 |
| assistance.n                 |      51 |             8137 |            28.12 |
| go.v                         |      51 |             8188 |            28.29 |
| sign.v                       |      51 |             8239 |            28.47 |
| terrorism.n                  |      49 |             8288 |            28.64 |
| small.a                      |      49 |             8337 |            28.81 |
| think.v                      |      49 |             8386 |            28.98 |
| site.n                       |      49 |             8435 |            29.15 |
| man.n                        |      49 |             8484 |            29.31 |
| to.prep                      |      48 |             8532 |            29.48 |
| important.a                  |      48 |             8580 |            29.65 |
| start.v                      |      48 |             8628 |            29.81 |
| activity.n                   |      48 |             8676 |            29.98 |
| enrichment.n                 |      48 |             8724 |            30.14 |
| equipment.n                  |      48 |             8772 |            30.31 |
| today.n                      |      48 |             8820 |            30.48 |
| terrorist.n                  |      47 |             8867 |            30.64 |
| number.n                     |      47 |             8914 |            30.8  |
| report.v                     |      46 |             8960 |            30.96 |
| try.v                        |      46 |             9006 |            31.12 |
| part.n                       |      46 |             9052 |            31.28 |
| international.a              |      46 |             9098 |            31.44 |
| old.a                        |      46 |             9144 |            31.6  |
| remain.v                     |      46 |             9190 |            31.75 |
| sell.v                       |      46 |             9236 |            31.91 |
| several.a                    |      45 |             9281 |            32.07 |
| call.v                       |      45 |             9326 |            32.22 |
| temple.n                     |      45 |             9371 |            32.38 |
| now.adv                      |      45 |             9416 |            32.54 |
| when.adv                     |      45 |             9461 |            32.69 |
| claim.v                      |      44 |             9505 |            32.84 |
| world.n                      |      44 |             9549 |            32.99 |
| CW.n                         |      44 |             9593 |            33.15 |
| construction.n               |      44 |             9637 |            33.3  |
| some.art                     |      43 |             9680 |            33.45 |
| leave.v                      |      43 |             9723 |            33.6  |
| possess.v                    |      43 |             9766 |            33.74 |
| all.a                        |      43 |             9809 |            33.89 |
| child.n                      |      43 |             9852 |            34.04 |
| bomb.n                       |      43 |             9895 |            34.19 |
| here.adv                     |      42 |             9937 |            34.34 |
| tell.v                       |      42 |             9979 |            34.48 |
| more.a                       |      41 |            10020 |            34.62 |
| national.a                   |      41 |            10061 |            34.76 |
| source.n                     |      41 |            10102 |            34.91 |
| street.n                     |      41 |            10143 |            35.05 |
| still.adv                    |      41 |            10184 |            35.19 |
| information.n                |      40 |            10224 |            35.33 |
| need.v                       |      40 |            10264 |            35.47 |
| seem.v                       |      40 |            10304 |            35.6  |
| reportedly.adv               |      40 |            10344 |            35.74 |
| scientist.n                  |      39 |            10383 |            35.88 |
| evidence.n                   |      39 |            10422 |            36.01 |
| from.prep                    |      39 |            10461 |            36.15 |
| may.v                        |      39 |            10500 |            36.28 |
| location.n                   |      39 |            10539 |            36.42 |
| century.n                    |      39 |            10578 |            36.55 |
| supply.v                     |      38 |            10616 |            36.68 |
| related.a                    |      38 |            10654 |            36.81 |
| military.a                   |      37 |            10691 |            36.94 |
| economy.n                    |      37 |            10728 |            37.07 |
| deal.n                       |      37 |            10765 |            37.2  |
| including.prep               |      37 |            10802 |            37.32 |
| inspection.n                 |      36 |            10838 |            37.45 |
| announce.v                   |      35 |            10873 |            37.57 |
| town.n                       |      35 |            10908 |            37.69 |
| home.n                       |      35 |            10943 |            37.81 |
| family.n                     |      34 |            10977 |            37.93 |
| concern.n                    |      34 |            11011 |            38.05 |
| state [sovereign].n          |      33 |            11044 |            38.16 |
| declare.v                    |      33 |            11077 |            38.27 |
| foreign.a                    |      33 |            11110 |            38.39 |
| since.adv                    |      33 |            11143 |            38.5  |
| live.v                       |      33 |            11176 |            38.62 |
| same.a                       |      33 |            11209 |            38.73 |
| establish.v                  |      33 |            11242 |            38.84 |
| cooperation.n                |      33 |            11275 |            38.96 |
| might.v                      |      33 |            11308 |            39.07 |
| month.n                      |      33 |            11341 |            39.19 |
| range.n                      |      32 |            11373 |            39.3  |
| before.prep                  |      32 |            11405 |            39.41 |
| increase.v                   |      32 |            11437 |            39.52 |
| arrive.v                     |      32 |            11469 |            39.63 |
| manufacture.v                |      32 |            11501 |            39.74 |
| security.n                   |      32 |            11533 |            39.85 |
| about.prep                   |      32 |            11565 |            39.96 |
| project.n                    |      32 |            11597 |            40.07 |
| community.n                  |      32 |            11629 |            40.18 |
| seek.v                       |      31 |            11660 |            40.29 |
| test.n                       |      31 |            11691 |            40.4  |
| road.n                       |      31 |            11722 |            40.5  |
| threat.n                     |      31 |            11753 |            40.61 |
| place.n                      |      31 |            11784 |            40.72 |
| week.n                       |      31 |            11815 |            40.82 |
| purpose.n                    |      31 |            11846 |            40.93 |
| high.a                       |      31 |            11877 |            41.04 |
| power.n                      |      31 |            11908 |            41.15 |
| three.num                    |      31 |            11939 |            41.25 |
| like.prep                    |      30 |            11969 |            41.36 |
| population.n                 |      30 |            11999 |            41.46 |
| work.n                       |      30 |            12029 |            41.56 |
| enriched.a                   |      30 |            12059 |            41.67 |
| iranian.a                    |      30 |            12089 |            41.77 |
| leader.n                     |      30 |            12119 |            41.87 |
| hour.n                       |      30 |            12149 |            41.98 |
| purchase.v                   |      29 |            12178 |            42.08 |
| way.n                        |      29 |            12207 |            42.18 |
| kill.v                       |      29 |            12236 |            42.28 |
| support.v                    |      29 |            12265 |            42.38 |
| appear.v                     |      29 |            12294 |            42.48 |
| cause.v                      |      29 |            12323 |            42.58 |
| museum.n                     |      29 |            12352 |            42.68 |
| sanction.n                   |      29 |            12381 |            42.78 |
| second.a                     |      29 |            12410 |            42.88 |
| problem.n                    |      28 |            12438 |            42.98 |
| expert.n                     |      28 |            12466 |            43.07 |
| gas.n                        |      28 |            12494 |            43.17 |
| change.v                     |      28 |            12522 |            43.27 |
| money.n                      |      28 |            12550 |            43.36 |
| defense.n                    |      28 |            12578 |            43.46 |
| woman.n                      |      28 |            12606 |            43.56 |
| night.n                      |      28 |            12634 |            43.65 |
| give.v                       |      28 |            12662 |            43.75 |
| complete.v                   |      28 |            12690 |            43.85 |
| deny.v                       |      28 |            12718 |            43.94 |
| local.a                      |      28 |            12746 |            44.04 |
| agree.v                      |      28 |            12774 |            44.14 |
| allow.v                      |      27 |            12801 |            44.23 |
| brother.n                    |      27 |            12828 |            44.32 |
| destroy.v                    |      27 |            12855 |            44.42 |
| ton.n                        |      27 |            12882 |            44.51 |
| create.v                     |      27 |            12909 |            44.6  |
| ringer.n                     |      27 |            12936 |            44.7  |
| long.a                       |      27 |            12963 |            44.79 |
| chemical.a                   |      27 |            12990 |            44.88 |
| warfare.n                    |      27 |            13017 |            44.98 |
| another.a                    |      27 |            13044 |            45.07 |
| end.v                        |      27 |            13071 |            45.16 |
| force.n                      |      27 |            13098 |            45.26 |
| car.n                        |      26 |            13124 |            45.35 |
| indicate.v                   |      26 |            13150 |            45.44 |
| sale.n                       |      26 |            13176 |            45.53 |
| plutonium.n                  |      26 |            13202 |            45.62 |
| treaty.n                     |      26 |            13228 |            45.71 |
| visitor.n                    |      26 |            13254 |            45.8  |
| visit.v                      |      26 |            13280 |            45.89 |
| grow.v                       |      26 |            13306 |            45.98 |
| centrifuge.n                 |      26 |            13332 |            46.07 |
| step.n                       |      26 |            13358 |            46.16 |
| major.a                      |      26 |            13384 |            46.25 |
| laboratory.n                 |      26 |            13410 |            46.34 |
| shop.n                       |      26 |            13436 |            46.43 |
| organization.n               |      25 |            13461 |            46.51 |
| church.n                     |      25 |            13486 |            46.6  |
| around.prep                  |      25 |            13511 |            46.68 |
| keep.v                       |      25 |            13536 |            46.77 |
| able.a                       |      25 |            13561 |            46.86 |
| hear.v                       |      25 |            13586 |            46.94 |
| over.prep                    |      25 |            13611 |            47.03 |
| bring.v                      |      25 |            13636 |            47.12 |
| empire.n                     |      25 |            13661 |            47.2  |
| hotel.n                      |      25 |            13686 |            47.29 |
| follow.v                     |      25 |            13711 |            47.38 |
| tower.n                      |      25 |            13736 |            47.46 |
| open.a                       |      24 |            13760 |            47.55 |
| plan.n                       |      24 |            13784 |            47.63 |
| statement.n                  |      24 |            13808 |            47.71 |
| authority.n                  |      24 |            13832 |            47.79 |
| receive.v                    |      24 |            13856 |            47.88 |
| infrastructure.n             |      24 |            13880 |            47.96 |
| acquisition [act].n          |      24 |            13904 |            48.04 |
| military.n                   |      24 |            13928 |            48.13 |
| plane.n                      |      24 |            13952 |            48.21 |
| only.a                       |      24 |            13976 |            48.29 |
| join.v                       |      24 |            14000 |            48.37 |
| estimate.v                   |      24 |            14024 |            48.46 |
| conduct.v                    |      24 |            14048 |            48.54 |
| bell.n                       |      24 |            14072 |            48.62 |
| development.n                |      23 |            14095 |            48.7  |
| reason.n                     |      23 |            14118 |            48.78 |
| send.v                       |      23 |            14141 |            48.86 |
| biological.a                 |      23 |            14164 |            48.94 |
| secret.a                     |      23 |            14187 |            49.02 |
| known.a                      |      23 |            14210 |            49.1  |
| different.a                  |      23 |            14233 |            49.18 |
| kind.n                       |      23 |            14256 |            49.26 |
| burn.v                       |      23 |            14279 |            49.34 |
| test.v                       |      23 |            14302 |            49.42 |
| stop.v                       |      23 |            14325 |            49.5  |
| key.a                        |      23 |            14348 |            49.58 |
